term	#occurance	#ratio
 "online"	39055	0.000436441364284
 "nj"	38686	0.000432317772851
 "nc"	38495	0.000430183339345
 "park" 	38032	0.000425009293726
 "city"	37886	0.000423377737224
 "american" 	37580	0.000419958173596
 "nude"	37534	0.000419444121548
 "estate" 	37456	0.000418572468074
 "shoes"	37374	0.000417656114422
 "department" 	37012	0.000413610748301
"sex" 	36990	0.000413364897321
 "estate"	36420	0.000406995121937
"disney" 	36216	0.000404715412852
 "are" 	35922	0.000401429949759
"bank" 	35849	0.000400614171508
"lyrics" 	35846	0.000400580646374
"nude" 	35707	0.000399027315184
"baby" 	35617	0.000398021561176
 "island" 	35576	0.00039756338435
"texas" 	35205	0.000393417442828
 "up" 	35115	0.000392411688819
 "fl"	35097	0.000392210538018
 "online" 	35037	0.000391540035346
 "phone" 	34842	0.000389360901662
 "women"	34827	0.000389193275994
"san" 	34711	0.000387896970828
"i" 	34654	0.000387259993289
 "north" 	34652	0.0003872376432
 "house" 	34498	0.000385516686342
 "hotel" 	34460	0.00038509203465
 "homes"	34318	0.000383505178326
 "schools"	34260	0.000382857025743
 "space"	34107	0.000381147243929
 "community" 	34041	0.00038040969099
 "it" 	34031	0.000380297940544
 "south" 	33775	0.000377437129144
 "white" 	33591	0.000375380920949
 "2" 	33529	0.000374688068188
"us" 	33477	0.000374106965872
 "county"	33472	0.00037405109065
 "homes" 	33137	0.000370307450731
 "nude" 	32666	0.000365044004755
 "search"	32262	0.000360529286763
 "get" 	32253	0.000360428711362
 "center" 	32148	0.000359255331686
 "public" 	32135	0.000359110056107
 "hotels"	31707	0.000354327137047
"old" 	31495	0.000351958027606
 "me" 	31374	0.000350605847217
 "love" 	31337	0.000350192370569
"a" 	31233	0.000349030165938
 "quest"	31187	0.000348516113889
 "news" 	30951	0.000345878803379
 "air" 	30892	0.000345219475751
 "make" 	30875	0.000345029499994
 "dresses"	30753	0.000343666144561
"sexy" 	30745	0.000343576744205
 "beach"	30726	0.000343364418359
 "free"	30709	0.000343174442602
 "park"	30604	0.000342001062926
 "no" 	30591	0.000341855787347
"real" 	30473	0.000340537132092
 "blue" 	30322	0.000338849700367
 "hair" 	30237	0.000337899821581
"wedding" 	30237	0.000337899821581
 "carolina"	30158	0.000337016993063
"http"	30125	0.000336648216594
 "lake" 	30110	0.000336480590926
 "tax" 	30107	0.000336447065792
 "west" 	30064	0.000335966538877
 "videos"	29921	0.000334368507509
 "girls" 	29776	0.000332748126051
 "health" 	29719	0.000332111148513
 "stories"	29506	0.000329730864027
 "movie" 	29404	0.000328591009484
 "rentals"	29272	0.000327115903606
 "cars"	29242	0.00032678065227
 "family" 	29148	0.000325730198084
 "world" 	29029	0.000324400367784
"ask" 	28979	0.000323841615557
"national" 	28918	0.000323159937841
"red" 	28824	0.000322109483655
"california" 	28763	0.000321427805938
 "list"	28721	0.000320958454068
"car" 	28690	0.000320612027687
 "movies"	28534	0.00031886872074
 "layouts"	28496	0.000318444069047
"online" 	28484	0.000318309968513
 "mail"	28446	0.000317885316821
 "book"	28363	0.000316957788124
 "college" 	28360	0.000316924262991
 "auto" 	28118	0.000314219902213
"www." 	28053	0.000313493524319
 "an" 	28002	0.000312923597047
 "inn" 	27933	0.000312152518975
"weather"	27887	0.000311638466926
"south" 	27853	0.000311258515412
"www.myspace.com"	27845	0.000311169115056
 "water" 	27667	0.000309179957129
"adult" 	27646	0.000308945281193
 "map"	27549	0.000307861301873
"2006" 	27518	0.000307514875493
"city" 	27510	0.000307425475137
 "tickets"	27499	0.000307302549647
"university" 	27379	0.000305961544303
 "idol"	27338	0.000305503367477
 "women" 	27333	0.000305447492254
"google" 	27309	0.000305179291185
 "jersey"	27272	0.000304765814537
 "20" 	27012	0.000301860302959
 "company"	26963	0.000301312725776
 "hospital"	26904	0.000300653398149
 "recipe"	26867	0.000300239921501
"blue" 	26859	0.000300150521145
"united" 	26852	0.000300072295833
 "web" 	26840	0.000299938195299
 "golf" 	26815	0.000299658819185
 "medical" 	26811	0.000299614119007
 "baby" 	26808	0.000299580593874
 "video"	26673	0.000298071962861
 "be" 	26655	0.00029787081206
 "florida" 	26606	0.000297323234878
"gay" 	26407	0.000295099401015
 "records"	26389	0.000294898250214
"north" 	26309	0.000294004246651
 "church" 	26257	0.000293423144335
 "downloads"	26101	0.000291679837388
 "video" 	25983	0.000290361182133
"state" 	25982	0.000290350007088
"ebay.com"	25856	0.000288941951477
 "wedding" 	25739	0.000287634471267
 "names"	25687	0.000287053368951
 "dog" 	25606	0.000286148190343
 "show"	25601	0.000286092315121
 "las" 	25553	0.000285555912983
 "island"	25460	0.000284516633841
 "long" 	25312	0.00028286272725
 "service"	25215	0.000281778747931
 "store"	25011	0.000279499038846
 "can" 	24991	0.000279275537955
 "michigan"	24966	0.000278996161842
"dog" 	24953	0.000278850886263
 "magazine"	24924	0.000278526809971
 "out" 	24867	0.000277889832433
 "home"	24821	0.000277375780384
 "carolina" 	24807	0.000277219329761
 "club" 	24545	0.000274291468093
 "old" 	24443	0.00027315161355
 "virginia"	24413	0.000272816362214
 "history"	24341	0.000272011759008
"first" 	24320	0.000271777083072
"st" 	24169	0.000270089651348
"all" 	24088	0.000269184472741
 "insurance"	24067	0.000268949796805
 "life" 	23977	0.000267944042797
"lake" 	23970	0.000267865817485
 "tx"	23938	0.00026750821606
 "union"	23902	0.000267105914457
 "pictures" 	23781	0.000265753734068
 "valley" 	23704	0.000264893255639
 "va"	23628	0.000264043952255
 "game"	23571	0.000263406974716
"high" 	23521	0.00026284822249
"teen" 	23390	0.000261384291656
 "party" 	23248	0.000259797435332
 "big" 	23159	0.000258802856368
 "georgia"	23080	0.00025792002785
"david" 	23052	0.000257607126603
"st." 	23039	0.000257461851024
 "kids"	22973	0.000256724298085
 "game" 	22823	0.000255048041405
 "house"	22819	0.000255003341227
 "does" 	22795	0.000254735140158
"music" 	22660	0.000253226509146
 "business" 	22556	0.000252064304514
 "time" 	22499	0.000251427326976
 "hotel"	22413	0.000250466273146
 "clothing"	22335	0.000249594619672
 "war" 	22322	0.000249449344093
 "all" 	22320	0.000249426994004
"la" 	22310	0.000249315243559
 "texas" 	22299	0.000249192318069
 "book" 	22243	0.000248566515575
 "one" 	22051	0.000246420907024
 "vegas" 	21990	0.000245739229308
"air" 	21935	0.000245124601858
 "services"	21889	0.00024461054981
 "porn" 	21862	0.000244308823607
 "world"	21854	0.000244219423251
 "have" 	21850	0.000244174723073
 "system"	21842	0.000244085322717
 "supplies"	21783	0.000243425995089
 "art" 	21760	0.000243168969065
 "plans"	21670	0.000242163215057
 "university" 	21651	0.000241950889211
"picture" 	21577	0.000241123935915
"auto" 	21520	0.000240486958377
 "myspace" 	21513	0.000240408733065
"world" 	21441	0.000239604129858
 "hospital" 	21412	0.000239280053567
 "tv" 	21407	0.000239224178344
 "models"	21355	0.000238643076028
 "girl" 	21347	0.000238553675672
 "bank" 	21195	0.000236855068903
 "vegas"	21161	0.000236475117389
 "national" 	20996	0.000234631235041
 "jobs" 	20991	0.000234575359818
"southwest" 	20961	0.000234240108482
"michael" 	20895	0.000233502555543
"wholesale" 	20887	0.000233413155186
"naked" 	20876	0.000233290229697
 "quotes"	20853	0.000233033203672
 "help"	20850	0.000232999678539
 "test"	20849	0.000232988503494
 "ford" 	20814	0.000232597376935
 "poems"	20775	0.000232161550199
"ohio" 	20751	0.00023189334913
 "care" 	20749	0.000231870999041
"washington" 	20702	0.000231345771948
 "tv"	20680	0.000231099920968
"pogo"	20622	0.000230451768385
"where" 	20619	0.000230418243251
"funny" 	20615	0.000230373543073
"las" 	20550	0.000229647165178
 "children"	20530	0.000229423664288
"ford" 	20439	0.000228406735235
 "country" 	20393	0.000227892683187
 "court" 	20329	0.000227177480336
 "star" 	20276	0.000226585202976
 "2"	20229	0.000226059975883
 "jersey" 	20220	0.000225959400482
 "song" 	20171	0.0002254118233
 "people" 	20080	0.000224394894247
"hotmail"	20046	0.000224014942733
 "day"	20020	0.000223724391575
 "space.com"	19987	0.000223355615106
"craigslist"	19918	0.000222584537033
 "jeeves"	19772	0.000220952980531
 "ga"	19722	0.000220394228304
"yellow" 	19667	0.000219779600855
 "times"	19639	0.000219466699608
 "river" 	19591	0.00021893029747
 "newspaper"	19562	0.000218606221179
 "songs"	19459	0.000217455191592
 "men"	19432	0.000217153465389
"girls" 	19383	0.000216605888207
"msn"	19360	0.000216348862183
 "." 	19360	0.000216348862183
"find" 	19345	0.000216181236515
 "not" 	19342	0.000216147711381
 "how" 	19337	0.000216091836158
 "2006" 	19300	0.000215678359511
 "dogs"	19276	0.000215410158442
 "movie"	19248	0.000215097257195
 "games" 	19209	0.000214661430458
 "child" 	19208	0.000214650255413
 "rent" 	19154	0.000214046803009
 "code"	19121	0.000213678026539
 "3" 	19017	0.000212515821907
 "stores"	18988	0.000212191745616
 "ma"	18962	0.000211901194458
 "association"	18934	0.000211588293211
"kelly" 	18897	0.000211174816563
 "size" 	18890	0.000211096591252
"dr." 	18875	0.000210928965584
 "galleries"	18869	0.000210861915316
 "wallpaper"	18867	0.000210839565227
 "little" 	18844	0.000210582539203
 "red" 	18769	0.000209744410863
 "hot" 	18717	0.000209163308547
 "gay" 	18626	0.000208146379495
 "cell" 	18613	0.000208001103916
 "cheats"	18603	0.00020788935347
 "maryland"	18588	0.000207721727802
 "los" 	18588	0.000207721727802
 "after" 	18569	0.000207509401956
 "mexico"	18543	0.000207218850798
 "books"	18519	0.000206950649729
 "card"	18515	0.000206905949551
 "property" 	18475	0.00020645894777
 "md"	18456	0.000206246621924
"kids" 	18407	0.000205699044742
 "body" 	18398	0.000205598469341
 "products"	18377	0.000205363793406
 "pussy"	18363	0.000205207342782
"family" 	18331	0.000204849741357
 "first" 	18324	0.000204771516045
 "lyrics" 	18305	0.000204559190199
"james" 	18292	0.00020441391462
 "illinois"	18267	0.000204134538507
 "service" 	18241	0.000203843987349
 "district"	18221	0.000203620486458
 "food" 	18179	0.000203151134588
"star" 	18102	0.000202290656159
"history" 	18092	0.000202178905713
"hotmail.com"	18075	0.000201988929956
"adserver.ign.com"	18070	0.000201933054734
 "hill" 	18059	0.000201810129244
 "restaurant" 	18059	0.000201810129244
 "download"	18011	0.000201273727106
"west" 	17984	0.000200972000904
 "myspace"	17979	0.000200916125681
"christian" 	17963	0.000200737324968
"dictionary"	17960	0.000200703799835
 "job" 	17946	0.000200547349211
 "rock" 	17873	0.00019973157096
 "washington" 	17865	0.000199642170604
 "la" 	17825	0.000199195168823
 "alabama"	17810	0.000199027543155
 "bay" 	17802	0.000198938142798
 "r" 	17793	0.000198837567398
"discount" 	17779	0.000198681116774
 "show" 	17700	0.000197798288256
"ny" 	17594	0.000196613733535
 "4" 	17573	0.0001963790576
 "street" 	17570	0.000196345532466
 "code" 	17527	0.000195865005551
 "men" 	17480	0.000195339778458
 "police" 	17465	0.00019517215279
"little" 	17425	0.000194725151009
"women" 	17417	0.000194635750653
"top" 	17393	0.000194367549584
 "card" 	17330	0.000193663521778
"long" 	17314	0.000193484721066
 "inc"	17299	0.000193317095398
 "inn"	17278	0.000193082419462
 "birthday" 	17250	0.000192769518215
 "network"	17227	0.000192512492191
"homes" 	17106	0.000191160311803
 "baseball" 	17095	0.000191037386313
 "security" 	17089	0.000190970336045
 "sites"	17060	0.000190646259754
"who" 	17044	0.000190467459041
"people" 	17019	0.000190188082928
 "ohio" 	16976	0.000189707556013
 "board" 	16967	0.000189606980612
 "like" 	16941	0.000189316429454
"hotels" 	16939	0.000189294079365
 "indiana"	16930	0.000189193503964
 "designs"	16930	0.000189193503964
 "gallery"	16899	0.000188847077584
 "line"	16878	0.000188612401649
 "motor" 	16866	0.000188478301114
"medical" 	16864	0.000188455951025
 "schools" 	16853	0.000188333025535
 "reviews"	16755	0.000187237871171
 "who" 	16745	0.000187126120726
"food" 	16732	0.000186980845147
"easter" 	16720	0.000186846744612
 "teen" 	16694	0.000186556193454
"custom" 	16608	0.000185595139624
 "cancer"	16574	0.00018521518811
 "what" 	16572	0.000185192838021
 "top" 	16559	0.000185047562442
 "colorado"	16549	0.000184935811997
"young" 	16540	0.000184835236596
"honda" 	16522	0.000184634085795
"weather" 	16477	0.00018413120879
 "airport"	16455	0.000183885357811
"mycl.cravelyrics.com"	16416	0.000183449531074
"jessica" 	16291	0.000182052650507
"chicago" 	16247	0.000181560948548
"msn.com"	16246	0.000181549773503
 "shower" 	16242	0.000181505073325
 "forms"	16144	0.000180409918961
 "tn"	16135	0.00018030934356
 "chicago"	16067	0.000179549440531
 "e" 	16044	0.000179292414507
 "daily" 	15945	0.000178186085098
 "nyc"	15940	0.000178130209876
 "back" 	15921	0.000177917884029
"robert" 	15916	0.000177862008807
 "guide"	15899	0.00017767203305
 "library"	15891	0.000177582632693
 "best" 	15809	0.000176666279042
 "used" 	15809	0.000176666279042
"movie" 	15808	0.000176655103997
"download" 	15807	0.000176643928953
 "depot"	15801	0.000176576878685
"virginia" 	15798	0.000176543353552
"love" 	15730	0.000175783450523
 "sc"	15709	0.000175548774588
 "as" 	15699	0.000175437024143
 "horse" 	15692	0.000175358798831
"chris" 	15676	0.000175179998119
 "page"	15630	0.00017466594607
 "software"	15616	0.000174509495447
 "was" 	15600	0.000174330694734
 "s" 	15586	0.00017417424411
 "church"	15575	0.000174051318621
"cartoon" 	15555	0.00017382781773
"george" 	15530	0.000173548441617
 "ideas"	15458	0.00017274383841
 "1" 	15458	0.00017274383841
"why" 	15418	0.000172296836629
 "aol" 	15402	0.000172118035916
 "mountain" 	15355	0.000171592808823
 "maps"	15345	0.000171481058378
 "federal" 	15329	0.000171302257665
 "go" 	15323	0.000171235207398
"georgia" 	15289	0.000170855255884
 "resort"	15284	0.000170799380661
 "state"	15281	0.000170765855528
 "rental" 	15278	0.000170732330394
 "car"	15269	0.000170631754993
 "disease"	15256	0.000170486479414
 "truck" 	15245	0.000170363553924
"prom" 	15241	0.000170318853746
 "baseball"	15221	0.000170095352855
 "report"	15203	0.000169894202054
 "us"	15191	0.000169760101519
 "office"	15134	0.000169123123981
 "dictionary"	15114	0.00016889962309
 "john" 	15087	0.000168597896888
"bankofamerica"	15086	0.000168586721843
"hair" 	15084	0.000168564371754
 "model" 	15070	0.000168407921131
 "restaurant"	15059	0.000168284995641
 "st" 	15054	0.000168229120418
 "clip" 	15041	0.000168083844839
"michigan" 	15040	0.000168072669795
 "rentals" 	15030	0.000167960919349
"house" 	15012	0.000167759768548
 "st." 	14989	0.000167502742524
 "when" 	14971	0.000167301591722
 "insurance" 	14939	0.000166943990297
"antique" 	14932	0.000166865764985
 "up"	14930	0.000166843414896
 "weather"	14921	0.000166742839495
 "adult" 	14881	0.000166295837714
"vintage" 	14878	0.00016626231258
 "realty"	14870	0.000166172912224
 "rental"	14859	0.000166049986734
 "live" 	14804	0.000165435359285
"walmart"	14779	0.000165155983171
 "loans"	14773	0.000165088932904
"mapquest.com"	14767	0.000165021882637
 "springs" 	14760	0.000164943657325
 "space" 	14650	0.000163714402426
 "accessories"	14648	0.000163692052337
 "animal" 	14641	0.000163613827026
 "arizona"	14599	0.000163144475155
 "tattoos"	14596	0.000163110950022
"photos" 	14590	0.000163043899754
 "patterns"	14575	0.000162876274086
 "man" 	14571	0.000162831573908
"is" 	14532	0.000162395747171
 "power" 	14529	0.000162362222038
 "year" 	14489	0.000161915220256
 "jewelry"	14487	0.000161892870167
 "screen" 	14464	0.000161635844143
 "list" 	14455	0.000161535268742
 "creek" 	14450	0.00016147939352
"boston" 	14396	0.000160875941115
"bed" 	14394	0.000160853591026
"jobs" 	14388	0.000160786540758
 "basketball" 	14373	0.00016061891509
 "numbers"	14317	0.000159993112597
 "fire" 	14294	0.000159736086572
 "radio" 	14287	0.000159657861261
 "education"	14240	0.000159132634167
"ask.com"	14211	0.000158808557876
 "jokes"	14162	0.000158260980694
"great" 	14155	0.000158182755382
 "law" 	14143	0.000158048654848
 "channel"	14129	0.000157892204224
"tattoo"	14127	0.000157869854135
 "equipment"	14121	0.000157802803868
 "young" 	14118	0.000157769278734
 "kids" 	14101	0.000157579302977
 "song"	14096	0.000157523427754
"spanish" 	14041	0.000156908800305
 "heart" 	14032	0.000156808224904
 "photo" 	14023	0.000156707649503
 "results"	14009	0.00015655119888
 "blood" 	13983	0.000156260647722
"buy" 	13915	0.000155500744694
 "information"	13913	0.000155478394605
 "board"	13895	0.000155277243803
 "line" 	13894	0.000155266068759
 "radio"	13873	0.000155031392823
 "ct"	13853	0.000154807891933
 "diet"	13852	0.000154796716888
 "search" 	13816	0.000154394415285
"grand" 	13788	0.000154081514038
 "tree" 	13774	0.000153925063414
 "summer" 	13756	0.000153723912613
 "palm" 	13748	0.000153634512257
"social" 	13726	0.000153388661277
"el" 	13715	0.000153265735787
 "oregon"	13706	0.000153165160386
 "pool" 	13698	0.00015307576003
 "states" 	13696	0.000153053409941
 "virginia" 	13691	0.000152997534718
 "images"	13691	0.000152997534718
 "picture"	13681	0.000152885784273
".com"	13657	0.000152617583204
 "furniture" 	13655	0.000152595233115
 "care"	13618	0.000152181756467
 "name" 	13582	0.000151779454864
"pet" 	13574	0.000151690054508
 "department"	13574	0.000151690054508
"ebay" 	13529	0.000151187177504
"small" 	13529	0.000151187177504
 "court"	13520	0.000151086602103
 "chat"	13507	0.000150941326524
"fort" 	13464	0.000150460799609
 "california" 	13450	0.000150304348985
 "over" 	13447	0.000150270823852
 "program"	13433	0.000150114373228
 "wall" 	13419	0.000149957922605
"william" 	13398	0.00014972324667
"low" 	13369	0.000149399170378
 "gas" 	13366	0.000149365645245
 "usa"	13343	0.00014910861922
 "clothes"	13313	0.000148773367884
"verizon" 	13308	0.000148717492662
"college" 	13300	0.000148628092305
 "grand" 	13276	0.000148359891236
"mary" 	13266	0.000148248140791
 "picture" 	13230	0.000147845839188
 "review"	13221	0.000147745263787
 "store" 	13217	0.000147700563609
"paul" 	13212	0.000147644688386
 "3"	13198	0.000147488237763
"palm" 	13188	0.000147376487317
 "king" 	13162	0.00014708593616
 "angeles" 	13159	0.000147052411026
 "hair"	13153	0.000146985360759
 "resort" 	13106	0.000146460133666
"nj" 	13094	0.000146326033131
"horse" 	13089	0.000146270157909
 "own" 	13084	0.000146214282686
 "en" 	13055	0.000145890206394
"colorado" 	13044	0.000145767280904
 "codes" 	13028	0.000145588480192
 "t" 	13020	0.000145499079836
 "people"	13017	0.000145465554702
"animal" 	13013	0.000145420854524
"when" 	13003	0.000145309104079
 "children" 	12990	0.0001451638285
 "will" 	12990	0.0001451638285
 "clips"	12979	0.00014504090301
 "il"	12948	0.000144694476629
 "houston"	12940	0.000144605076273
 "casino"	12920	0.000144381575382
 "area" 	12920	0.000144381575382
 "channel.com"	12915	0.00014432570016
 "sales"	12914	0.000144314525115
 "graphics"	12908	0.000144247474848
"indiana" 	12883	0.000143968098734
 "garden" 	12876	0.000143889873423
 "christian" 	12862	0.000143733422799
 "good" 	12857	0.000143677547577
 "office" 	12856	0.000143666372532
 "weight" 	12838	0.00014346522173
 "night" 	12820	0.000143264070929
 "made" 	12813	0.000143185845617
 "middle" 	12806	0.000143107620305
 "me"	12799	0.000143029394994
 "dance" 	12755	0.000142537693034
"e" 	12752	0.0001425041679
 "pics" 	12741	0.000142381242411
 "schedule"	12729	0.000142247141876
 "express"	12725	0.000142202441698
 "united" 	12714	0.000142079516208
"country" 	12712	0.000142057166119
"miami" 	12702	0.000141945415674
 "group"	12696	0.000141878365407
 "surgery"	12696	0.000141878365407
"jennifer" 	12691	0.000141822490184
 "coupons"	12665	0.000141531939026
"los" 	12664	0.000141520763981
"water" 	12651	0.000141375488403
 "cross" 	12550	0.000140246808905
 "co"	12545	0.000140190933682
"chinese" 	12545	0.000140190933682
 "site"	12544	0.000140179758637
"tv" 	12494	0.000139621006411
 "fishing" 	12492	0.000139598656322
 "ny" 	12482	0.000139486905876
 "tennessee"	12477	0.000139431030654
 "area"	12475	0.000139408680565
 "boats"	12465	0.000139296930119
 "work" 	12446	0.000139084604273
 "life"	12440	0.000139017554006
"child" 	12418	0.000138771703026
 "n" 	12414	0.000138727002848
 "road" 	12387	0.000138425276645
 "oil" 	12379	0.000138335876289
 "coloring" 	12358	0.000138101200354
 "shirts"	12355	0.00013806767522
 "website"	12312	0.000137587148305
"can" 	12307	0.000137531273083
"dr" 	12294	0.000137385997504
 "trailers"	12285	0.000137285422103
 "invitations"	12283	0.000137263072014
 "green" 	12273	0.000137151321569
 "name"	12261	0.000137017221034
 "us" 	12233	0.000136704319787
"green" 	12228	0.000136648444565
 "inc."	12223	0.000136592569342
"maps"	12194	0.00013626849305
"porn"	12189	0.000136212617828
 "diego" 	12176	0.000136067342249
"french" 	12174	0.00013604499216
"craigs" 	12166	0.000135955591803
 "side" 	12163	0.00013592206667
 "war"	12155	0.000135832666314
"hotel" 	12137	0.000135631515512
 "c" 	12115	0.000135385664532
 "love"	12108	0.00013530743922
"super" 	12105	0.000135273914087
"african" 	12098	0.000135195688775
 "teens"	12069	0.000134871612484
"king" 	12061	0.000134782212127
 "post" 	12044	0.00013459223637
 "girl"	12037	0.000134514011059
 "history" 	12035	0.000134491660969
 "travel" 	12001	0.000134111709455
 "prices"	11998	0.000134078184322
 "light" 	11994	0.000134033484144
 "gold" 	11993	0.000134022309099
 "naked"	11989	0.000133977608921
 "vacation" 	11964	0.000133698232808
 "number" 	11960	0.000133653532629
"pink" 	11954	0.000133586482362
 "yellow" 	11924	0.000133251231026
 "sports" 	11919	0.000133195355803
"tom" 	11918	0.000133184180759
 "b" 	11917	0.000133173005714
"delta" 	11913	0.000133128305536
 "fort" 	11911	0.000133105955447
 "bar" 	11907	0.000133061255269
 "louis" 	11899	0.000132971854913
 "yahoo.com"	11853	0.000132457802864
"thomas" 	11841	0.00013232370233
 "buy" 	11840	0.000132312527285
 "toys"	11839	0.000132301352241
"illinois" 	11821	0.000132100201439
 "society"	11814	0.000132021976127
 "directions"	11802	0.000131887875593
 "one"	11776	0.000131597324435
"im" 	11776	0.000131597324435
 "sports"	11754	0.000131351473455
 "off" 	11744	0.00013123972301
 "boys"	11744	0.00013123972301
 "phones"	11720	0.000130971521941
"one" 	11679	0.000130513345115
 "stores" 	11672	0.000130435119804
 "point" 	11661	0.000130312194314
 "in"	11648	0.000130166918735
 "land" 	11635	0.000130021643156
 "boy" 	11619	0.000129842842443
"song" 	11616	0.00012980931731
"golf" 	11605	0.00012968639182
 "gifts"	11585	0.000129462890929
"famous" 	11584	0.000129451715885
 "if" 	11584	0.000129451715885
 "brown" 	11574	0.000129339965439
 "head" 	11571	0.000129306440306
"italian" 	11558	0.000129161164727
 "flowers"	11542	0.000128982364014
"female" 	11536	0.000128915313747
 "services" 	11536	0.000128915313747
 "bags"	11517	0.000128702987901
"sony" 	11499	0.000128501837099
 "5" 	11497	0.00012847948701
"microsoft" 	11493	0.000128434786832
 "vs" 	11446	0.000127909559739
 "disney" 	11440	0.000127842509472
 "games.com"	11434	0.000127775459204
 "food"	11433	0.00012776428416
"web" 	11432	0.000127753109115
 "clipart"	11430	0.000127730759026
"sex"	11426	0.000127686058848
 "glass" 	11422	0.00012764135867
"houston" 	11414	0.000127551958314
 "clubs"	11407	0.000127473733002
 "pain"	11404	0.000127440207868
 "education" 	11391	0.000127294932289
 "cancer" 	11384	0.000127216706978
"federal" 	11369	0.00012704908131
"motorcycle" 	11368	0.000127037906265
 "you"	11360	0.000126948505909
 "times" 	11349	0.000126825580419
"no" 	11342	0.000126747355107
 "aol"	11333	0.000126646779706
"arizona" 	11321	0.000126512679172
 "dvd"	11302	0.000126300353326
 "training" 	11283	0.00012608802748
 "tree"	11275	0.000125998627123
"paris" 	11266	0.000125898051723
 "wood" 	11266	0.000125898051723
 "law"	11256	0.000125786301277
 "directory"	11254	0.000125763951188
